text,action,device
can you He wanted to wear lipstick but the lipstick was expired. please,NONE,NONE
please We have a juice bar. right now,NONE,NONE
could you down um my playlist for me,DECREASE,MUSIC
can you turn off like my screen right now,DISABLE,TV
Hes not the sharpest knife in the drawer. hey boost bedside lamp,INCREASE,LIGHTS
"ok He got shot in the stomach, but he didnt die. for me",NONE,NONE
hey increase the speaker right now,INCREASE,MUSIC
alright up tv right like now Im having second thoughts about getting married so soon.,INCREASE,TV
alright power off the lamp um now,DISABLE,LIGHTS
Tulips grow every year. can you on my lamp right now,ENABLE,LIGHTS
boost lighting now His mom was so upset that he knew he couldnt tell her the truth.,INCREASE,LIGHTS
It will definitely happen sometime in the future. alright power off smart tv right now,DISABLE,TV
could you power on uh my music please,ENABLE,MUSIC
"could you She hated chocolate chip cookies, but she loved gingersnaps. for me",NONE,NONE
bro start the screen She was out on the deck of the ship when she saw the first ghosts.,ENABLE,TV
What a day were having! her mother sighed. would you stop all the lamp thanks,DISABLE,LIGHTS
alright shut down all the audio now,DISABLE,MUSIC
can you reduce the air fan right now She had a hard time guessing what women were nannies and which ones were mothers themselves.,DECREASE,FAN
yo can you send uh a message please,NONE,NONE
please turn down air conditioning for me I am about as tall as my father now.,DECREASE,AC
bro like activate my bulb please,ENABLE,LIGHTS
alright increase um tv thanks,INCREASE,TV
alright power off my lighting right um now The security is the safest around.,DISABLE,LIGHTS
uh can you how do i eat right now,NONE,NONE
Blood is thicker than water. make lower the music,DECREASE,MUSIC
can um you do you know how to eat now,NONE,NONE
could you We can go to lunch. now,NONE,NONE
"yo She didnt drink, but she didnt want people to realize that, so she ordered a ginger ale at the bar.",NONE,NONE
alright She found little pellets of iron in her garden bed. right now,NONE,NONE
please turn on the fan right now,ENABLE,FAN
"um can you decrease all the ceiling fan People dont realize how often you can fail as a writer, even after you get a good job or get a book deal.",DECREASE,FAN
alright She went to sleep after 12. for me,NONE,NONE
he has skipped school on many occasions. uh can you its too bright,DECREASE,LIGHTS
its uh too dim for me,INCREASE,LIGHTS
could you He invited me to dinner yesterday. now,NONE,NONE
bro its too dark now,INCREASE,LIGHTS
alright Robert tends to talk big. right now,NONE,NONE
My favorite one smells like roses. please on my screen right now,ENABLE,TV
power off ac please,DISABLE,AC
please i want to eat like thanks,NONE,NONE
um please heat up the room for me,INCREASE,AC
can you disable fan please,DISABLE,FAN
yo She froze at the sight of the big spider. now,NONE,NONE
ok boost my ventilator for me,INCREASE,FAN
yo He ran his horse up the hill.,NONE,NONE
would like you do you know how to cook dinner for me,NONE,NONE
bro can you jump like for me,NONE,NONE
hey There is nothing more that I need to hear.,NONE,NONE
ok Apple picking is not in season. please,NONE,NONE
ok You cant have your cake and eat it too. now,NONE,NONE
hey make lower the um ceiling fan,DECREASE,FAN
alright power on television thanks,ENABLE,TV
can you heat up the room thanks You dont say.,INCREASE,AC
"That house is small, but its big enough for us. bro on tv right uh now",ENABLE,TV
hey um down the playlist please,DECREASE,MUSIC
alright up air conditioner please,INCREASE,AC
hey switch off bulb for me,DISABLE,LIGHTS
hey activate my television right uh now,ENABLE,TV
I could hang out with her. like please activate the playlist for me,ENABLE,MUSIC
can you I have 10 hair straighteners.,NONE,NONE
"hey She had strange, green and purple eyes. please",NONE,NONE
bro I want many things for myself. please,NONE,NONE
please This is my big break. thanks,NONE,NONE
ok disable air fan for me,DISABLE,FAN
can you raise uh the audio for me,INCREASE,MUSIC
She was determined to summit Mount Everest before she turned twenty-nine. can you um turn down my fan thanks,DECREASE,FAN
We should hang soon. hey make higher uh speaker please,INCREASE,MUSIC
alright reduce my playlist um now,DECREASE,MUSIC
"Get away from me, you slimy little worm! bro power up the ceiling uh fan right now",ENABLE,FAN
bro its hot for me,DECREASE,AC
We need congressional support. would you make um lower all the ventilator thanks,DECREASE,FAN
alright power down the playlist,DISABLE,MUSIC
bro stop my sound um system now How long does it really take to heal from a bullet wound?,DISABLE,MUSIC
could you The girl picked the pink flower out of her garden. for me,NONE,NONE
hey Old habits die hard. now,NONE,NONE
can you its too hot please,DECREASE,AC
would you boost my tv now,INCREASE,TV
The giraffe licked the tree and spat at the gorilla. power down my speaker thanks,DISABLE,MUSIC
"He took a thirty-minute shower, and by the time he stepped out, his fingers were as wrinkled as prunes. would you power off all the tv right now",DISABLE,TV
alright how do um i open the door for me,NONE,NONE
alright make higher the playlist right now,INCREASE,MUSIC
Has she texted you back yet? can you power down my ac for me,DISABLE,AC
please Juice was something I never drank. now,NONE,NONE
yo turn off all the sound system now,DISABLE,MUSIC
yo i want to cook dinner for me,NONE,NONE
bro There was a fire last night. now,NONE,NONE
alright increase my like cooler Robert tends to talk big.,INCREASE,AC
My dad needs a new job. bro switch on uh my ac now,ENABLE,AC
hey uh power on ac please,ENABLE,AC
"She liked Dune, but it didnt pass the Bechdel Test. yo switch on screen please",ENABLE,TV
yo turn up all like the speaker,INCREASE,MUSIC
would uh you raise ceiling fan,INCREASE,FAN
yo The mailbox was bent and broken and looked like someone had knocked it over on purpose. thanks,NONE,NONE
He was dressed for work. alright power on my air fan right now,ENABLE,FAN
"In Guam, she laid in the sun and ate mangoes all day. ok make higher the cooler thanks",INCREASE,AC
ok i um want to open the door for me,NONE,NONE
alright can you dance,NONE,NONE
can you Shes drop-dead gorgeous.,NONE,NONE
bro its hot now She wanted to be a tutor but had a hard time getting started.,DECREASE,AC
"He got shot in the stomach, but he didnt die. can you disable my hvac thanks",DISABLE,AC
bro The course starts next Sunday.,NONE,NONE
bro Who wrote Treasure Island? now,NONE,NONE
yo switch off the bedside lamp please,DISABLE,LIGHTS
alright power off all the ac now,DISABLE,AC
please I prefer ice cream over cake.,NONE,NONE
yo reduce my ventilator for me It was a tough time.,DECREASE,FAN
start uh my sound system now,ENABLE,MUSIC
weather is not working,NONE,NONE
This could become a problem. please turn off playlist right now,DISABLE,MUSIC
i want to send a uh message,NONE,NONE
hey off all the ceiling fan,DISABLE,FAN
um hey lower lighting for me This big sofa is really not suitable for a small room.,DECREASE,LIGHTS
I was excited to spend time with my wife without being interrupted by kids. hey its too dim uh now,INCREASE,LIGHTS
bro um turn on speaker The car crash was so instantaneous that I barely had time to process it.,ENABLE,MUSIC
would you power on smart tv You can order it spicy or classic.,ENABLE,TV
"He took a thirty-minute shower, and by the time he stepped out, his fingers were as wrinkled as prunes. alright enable the screen please",ENABLE,TV
switch on my lamp,ENABLE,LIGHTS
